id,Country,accomodation_5,accomodation_4,accomodation_3,accomodation_2,accomodation_1,accomodation,food_expensive,food,alcohol,culture,transportation,transportation_taxi,shopping,average_accomodation,average_food,average_transportation,average_food_x2,total_average,total_expensive,total_cheap
PRI,Puerto Rico,279.31,167.82,127.59,87.36,68.97,0,28.74,7.47,1.72,39.08,2.53,10.34,52.79,121.84,18.11,6.44,36.21,234.74,411.98,103.59
QAT,Qatar,150.57,86.21,51.72,36.78,0,0,31.55,6.32,12.64,0,6.44,4.14,78.02,54.21,18.94,5.29,37.87,160.74,276.92,103.42
ROU,Romania,124.14,79.31,57.47,37.93,25.29,19.54,13.97,6.32,1.72,8.62,1.38,3.45,54.42,57.28,10.15,2.42,20.29,129.29,206.32,92
RUS,Russia,191.95,110.34,80.46,64.37,62.07,17.24,23.85,7.93,1.72,0,1.38,3.45,71.86,87.74,15.89,2.42,31.78,168.56,292.83,100.13
RWA,Rwanda,277.01,158.62,98.85,29.89,0,0,6.78,10,02.07,0,0.69,6.21,46.51,94.06,8.39,3.45,16.78,152.99,338.58,59.27
SAL,Saudi Arabia,248.28,185.06,70.11,57.47,19.54,0,14.37,06.09,0.92,0,1.15,5.52,68.02,96.74,10.23,3.34,20.46,175.69,337.11,76.18
SEM,Senegal,186.21,113.79,106.9,40.23,27.59,0,22.87,11.26,3.1,7.24,1.15,8.28,145.35,79.12,17.07,4.72,34.13,248.96,373.05,168.1
SRB,Serbia,182.76,97.7,54.02,40.23,27.59,13.79,15.69,6.21,02.07,3.91,1.84,5.52,54.77,69.35,10.95,3.68,21.9,141.14,264.72,82.59
SVK,Slovakia,141.38,79.31,64.37,45.98,33.33,13.79,15.69,7.82,1.72,10.8,2.3,7.59,53.02,63.03,11.76,4.95,23.51,143.4,230.2,89.45
SVN,Slovenia,228.74,116.09,91.95,64.37,58.62,17.24,23.56,7.82,3.56,11.26,3.68,9.66,46.74,96.17,15.69,6.67,31.38,177.74,323.52,90.3
SOM,Somalia,0,0,0,0,0,0,17.24,9.2,1.15,0,0.46,2.76,0,0,13.22,1.61,26.44,5.98,21.15,10.81
